image_index,label,mineral,format,file_size,mode,image_width,image_height,brightness,contrast,aspect_ratio
0,1,Silver,JPEG,52135.0,RGB,356.0,403.0,0.2202153708389983,0.29512034191,0.8833746898263027
1,1,Silver,JPEG,58291.0,RGB,423.0,338.0,0.2985944791278381,0.2697057962584486,1.2514792899408285
2,1,Silver,JPEG,29233.0,RGB,335.0,428.0,0.1521245613603232,0.212519448445939,0.7827102803738317
3,1,Silver,JPEG,7648.0,RGB,277.0,289.0,0.5809770634797584,0.1906558393124119,0.9584775086505192
4,1,Silver,JPEG,47213.0,RGB,401.0,357.0,0.273004449934098,0.2425104888712151,1.123249299719888
5,1,Silver,JPEG,51143.0,RGB,370.0,387.0,0.2617245152128872,0.2878099741916036,0.9560723514211886
6,1,Stephanite,JPEG,57024.0,RGB,401.0,354.0,0.3511725560365177,0.277894591391902,1.1327683615819208
7,1,Silver,JPEG,36494.0,RGB,377.0,380.0,0.173154582508698,0.2345524627634722,0.9921052631578948
8,1,Silver,JPEG,37013.0,RGB,332.0,431.0,0.2024730010529356,0.2624706790580619,0.7703016241299304
9,1,Silver,JPEG,51108.0,RGB,356.0,402.0,0.2348974723211437,0.2893273401366427,0.8855721393034826
10,1,Silver,JPEG,47608.0,RGB,341.0,422.0,0.3107250822387022,0.2686392032603142,0.8080568720379147
11,1,Silver,JPEG,47991.0,RGB,337.0,428.0,0.2743764984293171,0.2745531340761356,0.7873831775700935
12,1,Silver,JPEG,34370.0,RGB,445.0,322.0,0.1496728559523467,0.2732353571490253,1.3819875776397517
13,1,Silver,JPEG,26419.0,RGB,306.0,461.0,0.1224805632629755,0.2375242517667462,0.6637744034707158
14,1,Stephanite,JPEG,24964.0,RGB,388.0,370.0,0.3565629182851741,0.2594505151685197,1.0486486486486486
15,1,Pyrargyrite,JPEG,37803.0,RGB,402.0,362.0,0.3575167171401145,0.2309762225029999,1.1104972375690607
16,1,Acanthite,JPEG,25695.0,RGB,361.0,396.0,0.3143309966757905,0.2451482938363199,0.9116161616161615
17,1,Acanthite,JPEG,27277.0,RGB,366.0,391.0,0.4452848745328774,0.2688207197760574,0.9360613810741688
18,1,Stephanite,JPEG,24085.0,RGB,364.0,395.0,0.2026465269652164,0.2347119345679581,0.9215189873417722
19,1,Silver,JPEG,49403.0,RGB,399.0,359.0,0.2611395494033023,0.3052862857661323,1.1114206128133706
20,1,Silver,JPEG,51810.0,RGB,412.0,348.0,0.2200896969657185,0.2709603102807986,1.1839080459770115
21,1,Silver,JPEG,48021.0,RGB,359.0,393.0,0.2374040381425061,0.2906672375983124,0.9134860050890584
22,1,Silver,JPEG,32984.0,RGB,349.0,411.0,0.1553488406426507,0.2447829119961029,0.8491484184914841
23,1,Silver,JPEG,62282.0,RGB,453.0,315.0,0.2792452845744625,0.2986157102199521,1.438095238095238
24,1,Proustite,JPEG,20447.0,RGB,381.0,376.0,0.1607059677615392,0.2586716064253783,1.0132978723404256
25,1,Silver,JPEG,15679.0,RGB,315.0,455.0,0.0712491218709706,0.1631875077071133,0.6923076923076923
26,1,Silver,JPEG,18549.0,RGB,322.0,444.0,0.0819514527315038,0.1591440212120838,0.7252252252252253
27,1,Silver,JPEG,15520.0,RGB,324.0,442.0,0.0669492667185862,0.1654819066449176,0.7330316742081447
28,1,Chlorargyrite,JPEG,32071.0,RGB,359.0,314.0,0.6763743632399645,0.2096795721139384,1.143312101910828
29,1,Silver,JPEG,83961.0,RGB,800.0,533.0,0.4694672037670602,0.1673776417522847,1.50093808630394
31,1,Silver,JPEG,25273.0,RGB,472.0,354.0,0.5767966580484535,0.1876187850692959,1.3333333333333333
32,1,Pyrargyrite,JPEG,33836.0,RGB,472.0,419.0,0.469421350110369,0.2034578458508905,1.126491646778043
33,1,Proustite,JPEG,36601.0,RGB,533.0,800.0,0.396739819004525,0.1973555805278929,0.66625
34,1,Proustite,JPEG,46045.0,RGB,533.0,800.0,0.2910758194459772,0.20389344931252,0.66625
35,1,Proustite,JPEG,47527.0,RGB,480.0,640.0,0.4968943142361109,0.2725097956707336,0.75
36,1,Polybasite,JPEG,64282.0,RGB,480.0,640.0,0.4356446716707517,0.3125433346720783,0.75
37,1,Silver,JPEG,25520.0,RGB,299.0,287.0,0.3359469050692305,0.208089737320233,1.0418118466898956
38,1,Silver,JPEG,61015.0,RGB,174.0,300.0,0.4664986101720382,0.203500964106053,0.58
39,1,Silver,JPEG,22263.0,RGB,472.0,354.0,0.4432362047567278,0.1283906451886813,1.3333333333333333
40,1,Silver,JPEG,36128.0,RGB,472.0,354.0,0.4496089884771297,0.1576311603550747,1.3333333333333333
41,1,Silver,JPEG,41484.0,RGB,447.0,321.0,0.1479541017379862,0.20399227696799,1.3925233644859814
42,1,Silver,JPEG,42862.0,RGB,339.0,421.0,0.2174051876792309,0.2427695445592074,0.8052256532066508
43,1,Silver,JPEG,43833.0,RGB,356.0,403.0,0.2106386776418544,0.2456307694051211,0.8833746898263027
44,1,Silver,JPEG,54645.0,RGB,420.0,341.0,0.2921042630150789,0.2487636056650494,1.2316715542521994
45,1,Silver,JPEG,56588.0,RGB,444.0,366.0,0.4318146256188686,0.2475926009480978,1.213114754098361
46,1,Silver,JPEG,39902.0,RGB,440.0,327.0,0.2275900941416322,0.2642008153622495,1.345565749235474
47,1,Silver,JPEG,35810.0,RGB,394.0,366.0,0.2149196046341756,0.3140324088717668,1.0765027322404372
48,1,Silver,JPEG,37423.0,RGB,373.0,391.0,0.1825218173773489,0.2712305331752198,0.9539641943734016
49,1,Silver,JPEG,37851.0,RGB,379.0,378.0,0.1877525367617974,0.2668501009805288,1.0026455026455026
50,1,Silver,JPEG,19372.0,RGB,412.0,351.0,0.1213468846726033,0.2236989475063241,1.1737891737891737
51,1,Silver,JPEG,21489.0,RGB,272.0,455.0,0.1096752728240617,0.2480307689992656,0.5978021978021978
52,1,Silver,JPEG,14463.0,RGB,307.0,455.0,0.0817166916879505,0.2092091662250978,0.6747252747252748
53,1,Silver,JPEG,19126.0,RGB,240.0,455.0,0.1196188321482439,0.2349610528871272,0.5274725274725275
